VARIÁVEL;QUESTIONÁRIO DO ALUNO
1;Não comi nenhum tipo de salada crua, legume ou verdura cozidos nos últimos 7 dias (0 dia)
2;1 dia nos últimos 7 dias
3;2 dias nos últimos 7 dias
4;3 dias nos últimos 7 dias
5;4 dias nos últimos 7 dias
6;5 dias nos últimos 7 dias
7;6 dias nos últimos 7 dias
8;Todos os dias nos últimos 7 dias
99;Não informado
VB02010;NOS ÚLTIMOS 7 DIAS, em quantos dias você comeu guloseimas (doces, balas, chocolates, chicletes, bombons ou pirulitos)?
1;Não comi guloseimas nos últimos 7 dias (0 dia)
2;1dia nos últimos 7 dias
3;2 dias nos últimos 7 dias
4;3 dias nos últimos 7 dias
5;4 dias nos últimos 7 dias
6;5 dias nos últimos 7 dias
7;6 dias nos últimos 7 dias
8;Todos os dias nos últimos 7 dias
99;Não informado
VB02011;NOS ÚLTIMOS 7 DIAS, em quantos dias você comeu frutas frescas ou salada de frutas? 
1;Não comi frutas frescas ou salada de frutas nos últimos 7 dias (0 dia)
2;1 dia nos últimos 7 dias
3;2 dias nos últimos 7 dias
4;3 dias nos últimos 7 dias
5;4 dias nos últimos 7 dias
6;5 dias nos últimos 7 dias
7;6 dias nos últimos 7 dias
8;Todos os dias nos últimos 7 dias
99;Não informado
VB02013;NOS ÚLTIMOS 7 DIAS, em quantos dias você tomou refrigerante?
1;Não tomei refrigerante nos últimos 7 dias (0 dia)
2;1 dia nos últimos 7 dias
3;2 dias nos últimos 7 dias
4;3 dias nos últimos 7 dias
5;4 dias nos últimos 7 dias
6;5 dias nos últimos 7 dias
7;6 dias nos últimos 7 dias
8;Todos os dias nos últimos 7 dias
99;Não informado
VB02022;NOS ÚLTIMOS 7 DIAS, em quantos dias você comeu alimentos industrializados/ultraprocessados salgados, como hambúrguer, presunto, mortadela, salame, linguiça, salsicha, macarrão instantâneo, salgadinho de pacote, biscoitos salgados?
1;Não comi alimentos industrializados/ultraprocessados salgados nos últimos 7 dias (0 dia)
2;1 dia nos últimos 7 dias
3;2 dias nos últimos 7 dias
4;3 dias nos últimos 7 dias
5;4 dias nos últimos 7 dias
6;5 dias nos últimos 7 dias
7;6 dias nos últimos 7 dias
8;Todos os dias nos últimos 7 dias
99;Não informado
VB02023;NOS ÚLTIMOS 7 DIAS, em quantos dias você comeu em restaurantes fast food, tais como lanchonetes, barracas de cachorro quentes, pizzaria etc?
1;Não comi em restaurantes fast food nos últimos 7 dias (0 dia)
2;1 dia nos últimos 7 dias
3;2 dias nos últimos 7 dias
4;3 dias nos últimos 7 dias
5;4 dias nos últimos 7 dias
6;5 dias nos últimos 7 dias
7;6 dias nos últimos 7 dias
8;Todos os dias nos últimos 7 dias
99;Não informado
VB02024;NOS ÚLTIMOS 30 DIAS, com que frequência você ficou com fome por não ter comida suficiente em sua casa?
1;Nunca
2;Raramente
3;Às vezes
4;Na maior parte das vezes
5;Sempre
99;Não informado
VB02025;NOS ÚLTIMOS 30 DIAS, quantas vezes por dia você normalmente comeu frutas frescas ou salada de frutas?
1;Não comi frutas nos últimos 30 dias
2;Menos de uma vez por dia (não comi todos os dias)
3;1 vez por dia
4;2 vezes por dia
5;3 vezes por dia
6;4 vezes por dia
7;5 ou mais vezes por dia
99;Não informado
VB02026;NOS ÚLTIMOS 30 DIAS, quantas vezes por dia você normalmente comeu legumes ou verduras, tais como alface, abóbora, brócolis, cebola, cenoura, chuchu, couve, espinafre, pepino, tomate etc? Não inclua batata e aipim (mandioca/macaxeira)
1;Não comi legumes ou verduras nos últimos 30 dias
2;Menos de uma vez por dia (não comi todos os dias)
3;1 vez por dia
4;2 vezes por dia
5;3 vezes por dia
6;4 vezes por dia
7;5 ou mais vezes por dia
99;Não informado
VB02027;NOS ÚLTIMOS 30 DIAS, quantas vezes por dia você tomou refrigerante?
1;Não tomei refrigerante nos últimos 30 dias
2;Menos de uma vez por dia (não tomei todos os dias)
3;1 vez por dia
4;2 vezes por dia
5;3 vezes por dia
6;4 vezes por dia
7;5 ou mais vezes por dia
99;Não informado
VB03001A1;NOS ÚLTIMOS 7 DIAS, em quantos dias você FOI a pé ou de bicicleta para a escola?
1;Nenhum dia nos últimos 7 dias (0 dia)
2;1 dia nos últimos 7 dias
3;2 dias nos últimos 7 dias
4;3 dias nos últimos 7 dias
5;4 dias nos últimos 7 dias
6;5 dias nos últimos 7 dias
7;5 dias mais sábado, nos últimos 7 dias
8;5 dias mais sábado e domingo, nos últimos 7 dias
99;Não informado
VB03002A1;Quando você VAI para a escola a pé ou de bicicleta, quanto tempo você gasta?
-1;Pulo no questionário
1;Menos de 10 minutos por dia
2;10 a 19 minutos por dia
3;20 a 29 minutos por dia
4;30 a 39 minutos por dia
5;40 a 49 minutos por dia
6;50 a 59 minutos por dia
7;1 hora ou mais por dia
99;Não informado
VB03001A2;NOS ÚLTIMOS 7 DIAS, em quantos dias você VOLTOU a pé ou de bicicleta da escola?
1;Nenhum dia nos últimos 7 dias (0 dia)
2;1 dia nos últimos 7 dias
3;2 dias nos últimos 7 dias
4;3 dias nos últimos 7 dias
5;4 dias nos últimos 7 dias
6;5 dias nos últimos 7 dias
7;5 dias mais sábado, nos últimos 7 dias
8;5 dias mais sábado e domingo, nos últimos 7 dias
99;Não informado
VB03002A2;Quando você VOLTA da escola a pé ou de bicicleta, quanto tempo você gasta?
-1;Pulo no questionário
1;Menos de 10 minutos por dia
2;10 a 19 minutos por dia
3;20 a 29 minutos por dia
4;30 a 39 minutos por dia
5;40 a 49 minutos por dia
6;50 a 59 minutos por dia
7;1 hora ou mais por dia
99;Não informado
VB03003A;NOS ÚLTIMOS 7 DIAS, quantos dias você teve aulas de educação física na escola?
1;Nenhum dia nos últimos 7 dias (0 dia)
2;1 dia nos últimos 7 dias
3;2 dias nos últimos 7 dias
4;3 dias nos últimos 7 dias
5;4 dias nos últimos 7 dias
6;5 dias nos últimos 7 dias
7;5 dias mais sábado, nos últimos 7 dias
8;5 dias mais sábado e domingo, nos últimos 7 dias
99;Não informado
VB03005A;NOS ÚLTIMOS 7 DIAS, quanto tempo por dia você fez atividade física ou esporte durante as aulas de educação física na escola?
-1;Pulo no questionário
1;Não fiz aula de educação física na escola nos últimos 7 dias.
2;Menos de 10 minutos por dia
3;10 a 19 minutos por dia
4;20 a 29 minutos por dia
5;30 a 39 minutos por dia
6;40 a 49 minutos por dia
7;50 a 59 minutos por dia
8;1 hora ou mais por dia
99;Não informado
VB03006A;NOS ÚLTIMOS 7 DIAS, sem contar as aulas de educação física da escola, em quantos dias você praticou alguma atividade física, como esportes, dança, ginástica, musculação, lutas ou outra atividade?
1;Nenhum dia nos últimos 7 dias (0 dia)
2;1 dia nos últimos 7 dias
3;2 dias nos últimos 7 dias
4;3 dias nos últimos 7 dias
5;4 dias nos últimos 7 dias
6;5 dias nos últimos 7 dias
7;5 dias mais sábado, nos últimos 7 dias
8;5 dias mais sábado e domingo, nos últimos 7 dias
99;Não informado
VB03007;NORMALMENTE, quanto tempo por dia duram essas atividades (como esportes, dança, ginástica, musculação, lutas ou outra atividade) que você faz? (Sem contar as aulas de educação física)
-1;Pulo no questionário
1;Menos de 10 minutos por dia
2;10 a 19 minutos por dia
3;20 a 29 minutos por dia
4;30 a 39 minutos por dia
5;40 a 49 minutos por dia
6;50 a 59 minutos por dia
7;1 hora ou mais por dia
99;Não informado
VB03011A;NOS ÚLTIMOS 7 DIAS, em quantos dias você fez atividade física por pelo menos 60 minutos (1 hora) por dia? (Some todo o tempo que você gastou em qualquer tipo de atividade física EM CADA DIA)
1;Nenhum dia nos últimos 7 dias (0 dia)
2;1 dia nos últimos 7 dias
3;2 dias nos últimos 7 dias
4;3 dias nos últimos 7 dias
5;4 dias nos últimos 7 dias
6;5 dias nos últimos 7 dias
7;5 dias mais sábado, nos últimos 7 dias
8;5 dias mais sábado e domingo, nos últimos 7 dias
99;Não informado
TEMPODESLOC;Refere-se ao tempo médio diário acumulado pelo escolar, com o deslocamento da casa para escola e da escola para casa feito a pé ou de bicicleta, nos últimos sete dias anteriores à pesquisa. Em minutos.
TEMPOEDFIS;Refere-se ao tempo médio acumulado, nos últimos sete dias anteriores à pesquisa, que o escolar fez atividade física ou esporte durante as aulas de educação física na escola. Em minutos.
TEMPOEXTRA;Refere-se ao tempo médio diário acumulado pelo escolar com a prática de alguma atividade física extraescolar como esportes, dança, ginástica, musculação, lutas ou outra atividade, nos últimos sete dias anteriores à data da pesquisa. Em minutos
TEMPOTOTAL;A atividade física acumulada foi estimada calculando o produto entre o número de dias e o tempo médio que os escolares gastam em atividades físicas, nos sete dias anteriores à pesquisa, considerando os seguintes domínios: ir e voltar da escola, aulas de educação física e outras atividades extraescolares. Em minutos.
TEMPOEST;A atividade física globalmente estimada refere-se ao número de dias que os escolares declararam fazer, pelo menos, uma hora por dia de atividade física, nos sete dias anteriores à pesquisa. Em minutos.
VB03008;Se você tivesse oportunidade de fazer atividade física na maioria dos dias da semana, qual seria a sua atitude?
1;Não faria mesmo assim
2;Faria atividade física em alguns dias da semana
3;Faria atividade física na maioria dos dias da semana
4;Já faço atividade física em alguns dias da semana
5;Já faço atividade física na maioria dos dias da semana
99;Não informado
VB03009A;Em um dia de semana comum, quantas horas por dia você assiste a TV? (não contar sábado, domingo e feriado)
1;Não assisto a TV
2;Até 1 hora por dia
3;Mais de 1 hora até 2 horas por dia
4;Mais de 2 horas até 3 horas por dia
5;Mais de 3 horas até 4 horas por dia
6;Mais de 4 horas até 5 horas por dia
7;Mais de 5 horas até 6 horas por dia
8;Mais de 6 horas até 7 horas por dia
9;Mais de 7 horas até 8 horas por dia
10;Mais de 8 horas por dia
99;Não informado
VB03010A;Em um dia de semana comum, quanto tempo você fica sentado(a), assistindo televisão, usando computador, jogando videogame, conversando com amigos(as) ou fazendo outras atividades sentado(a)? (não contar sábado, domingo, feriados e o tempo sentado na escola)
1;Até 1 hora por dia
2;Mais de 1 hora até 2 horas por dia
3;Mais de 2 horas até 3 horas por dia
4;Mais de 3 horas até 4 horas por dia
5;Mais de 4 horas até 5 horas por dia
6;Mais de 5 horas até 6 horas por dia
7;Mais de 6 horas até 7 horas por dia
8;Mais de 7 horas até 8 horas por dia
9;Mais de 8 horas por dia
99;Não informado
VB04001;Alguma vez na vida, você já fumou cigarro, mesmo uma ou duas tragadas? 
-1;Pulo no questionário
1;Sim
2;Não
99;Não informado
VB04002;Que idade você tinha quando experimentou fumar cigarro pela primeira vez?
-1;Pulo no questionário
7;7 anos de idade ou menos
8;8 anos
9;9 anos
10;10 anos
11;11 anos
12;12 anos
13;13 anos
14;14 anos
15;15 anos
16;16 anos
17;17 anos 
18;18 anos ou mais
99;Não informado
VB04003;NOS ÚLTIMOS 30 DIAS, em quantos dias você fumou cigarros?
-1;Pulo no questionário
1;Nenhum dia nos últimos 30 dias (0 dia)
2;1 ou 2 dias nos últimos 30 dias
3;3 a 5 dias nos últimos 30 dias
4;6 a 9 dias nos últimos 30 dias
5;10 a 19 dias nos últimos 30 dias
6;20 a 29 dias nos últimos 30 dias
7;Todos os dias nos últimos 30 dias
99;Não informado
VB04009;NOS ÚLTIMOS 30 DIAS, em geral, como você conseguiu seus próprios cigarros?
-1;Pulo no questionário
1;Não fumei cigarros nos últimos 30 dias
2;Eu os comprei numa loja ou botequim
3;Eu os comprei num vendedor ambulante (camelô)
4;Dei dinheiro para alguém comprá-los para mim
5;Eu os pedi a alguém
6;Eu peguei escondido
7;Uma pessoa mais velha me deu
8;Eu os consegui de outro modo
99;Não informado
VB04010;NOS ÚLTIMOS 30 DIAS, alguém se recusou a lhe vender cigarros por causa de sua idade?
-1;Pulo no questionário
1;Não tentei comprar cigarros nos últimos 30 dias
2;Sim, alguém se recusou a me vender cigarros por causa de minha idade
3;Não, minha idade não me impediu de comprar cigarros
99;Não informado
VB04008A;NOS ÚLTIMOS 30 DIAS, em quantos dias você usou outros produtos de tabaco: cigarros de palha ou enrolados a mão, charuto, cachimbo, cigarrilha, cigarro indiano ou bali, narguilé, rapé, fumo de mascar etc? (não incluir cigarro comum)
-1;Pulo no questionário
1;Não uso outros produtos de tabaco
2;Nenhum dia nos últimos 30 dias (0 dia)
3;1 ou 2 dias nos últimos 30 dias
4;3 a 5 dias nos últimos 30 dias
5;6 a 9 dias nos últimos 30 dias
6;10 a 19 dias nos últimos 30 dias
7;20 a 29 dias nos últimos 30 dias
8;Todos os 30 dias nos últimos 30 dias
99;Não informado
VB04011;Qual outro produto do tabaco você usou com mais frequência NOS ÚLTIMOS 30 DIAS?
-1;Pulo no questionário
1;Cigarros de cravo (cigarros de Bali)
2;Cigarros enrolados à mão (palha ou papel) 
3;Cigarrilhas
4;Charutos, charutos pequenos
5;Fumo para mascar
6;Narguilé (cachimbo de água)
7;Cigarros indianos (bidis)
8;Cigarro eletrônico (e-cigarette)
9;Outros
99;Não informado
VB04005;NOS ÚLTIMOS 7 DIAS, em quantos dias pessoas fumaram na sua presença?
-1;Pulo no questionário
1;Nenhum dia nos últimos 7 dias (0 dia)
2;1 ou 2 dias nos últimos 7 dias
3;3 ou 4 dias nos últimos 7 dias
4;5 ou 6 dias nos últimos 7 dias
5;Todos os 7 dias nos últimos 7 dias
99;Não informado
VB04006A;Algum de seus pais ou responsáveis fuma? 
-1;Pulo no questionário
1;Nenhum deles 
2;Só meu pai ou responsável do sexo masculino 
3;Só minha mãe ou responsável do sexo feminino 
4;Meu pai e minha mãe ou responsáveis 
5;Não sei
99;Não informado
VB05002;Alguma vez na vida você tomou uma dose de bebida alcoólica? (Uma dose equivale a uma lata de cerveja ou uma taça de vinho ou uma dose de cachaça ou uísque etc)
-1;Pulo no questionário
1;Sim
2;Não 
99;Não informado
VB05003;Que idade você tinha quando tomou a primeira dose de bebida alcoólica? (Uma dose equivale a uma lata de cerveja ou uma taça de vinho ou uma dose de cachaça ou uísque etc)
-1;Pulo no questionário
1;Nunca tomei bebida alcoólica
7;7 anos de idade ou menos
8;8 anos
9;9 anos
10;10 anos
11;11 anos
12;12 anos
13;13 anos
14;14 anos
15;15 anos
16;16 anos
17;17 anos 
18;18 anos ou mais
99;Não informado
VB05004;NOS ÚLTIMOS 30 DIAS, em quantos dias você tomou pelo menos um copo ou uma dose de bebida alcoólica? (Uma dose equivale a uma lata de cerveja ou uma taça de vinho ou uma dose de cachaça ou uísque etc)
-1;Pulo no questionário
1;Nenhum dia nos últimos 30 dias (0 dia)
2;1 ou 2 dias nos últimos 30 dias
3;3 a 5 dias nos últimos 30 dias
4;6 a 9 dias nos últimos 30 dias
5;10 a 19 dias nos últimos 30 dias
6;20 a 29 dias nos últimos 30 dias
7;Todos os dias nos últimos 30 dias
99;Não informado
VB05005;NOS ÚLTIMOS 30 DIAS, nos dias em que você tomou alguma bebida alcoólica, quantos copos ou doses você tomou por dia? 
-1;Pulo no questionário
1;Não tomei nenhuma bebida alcoólica nos últimos 30 dias (0 dia)
2;Menos de um copo ou dose nos últimos 30 dias 
3;1 copo ou 1 dose nos últimos 30 dias
4;2 copos ou 2 doses nos últimos 30 dias
5;3 copos ou 3 doses nos últimos 30 dias
6;4 copos ou 4 doses nos últimos 30 dias
7;5 copos ou mais ou 5 doses ou mais nos últimos 30 dias 
99;Não informado
VB05006A;NOS ÚLTIMOS 30 DIAS, na maioria das vezes, como você conseguiu a bebida que tomou?
-1;Pulo no questionário
1;Não tomei nenhuma bebida alcoólica nos últimos 30 dias (0 dia)
2;Comprei no mercado, loja, bar ou supermercado
3;Comprei de um vendedor de rua
4;Dei dinheiro a alguém que comprou para mim
5;Consegui com meus amigos
6;Peguei na minha casa sem permissão
7;Consegui com alguém em minha família
8;Em uma festa
9;Consegui de outro modo
99;Não informado
VB05007;Na sua vida, quantas vezes você bebeu tanto que ficou realmente bêbado(a)?
-1;Pulo no questionário
1;Nenhuma vez na vida (0 vez)
2;1 ou 2 vezes na vida 
3;3 a 5 vezes na vida 
4;6 a 9 vezes na vida 
5;10 ou mais vezes na vida 
99;Não informado
VB05009;Na sua vida, quantas vezes você teve problemas com sua família ou amigos, perdeu aulas ou brigou por que tinha bebido?
-1;Pulo no questionário
1;Nenhuma vez na vida (0 vez)
2;1 ou 2 vezes na vida 
3;3 a 5 vezes na vida 
4;6 a 9 vezes na vida 
5;10 ou mais vezes na vida 
99;Não informado
VB05010;Quantos amigos seus consomem bebida alcoólica?
-1;Pulo no questionário
1;Nenhum
2;Poucos
3;Alguns
4;A maioria
5;Todos
6;Não sei
99;Não informado
VB06001;Alguma vez na vida, você já usou alguma droga-como: maconha, cocaína, crack, loló, lança-perfume, ecstasy, oxy, etc?
-1;Pulo no questionário
1;Sim
2;Não
99;Não informado
VB06002;Que idade você tinha quando usou droga como maconha, cocaína, crack, cola, loló, lança-perfume, ecstasy, oxy ou outra, pela primeira vez?
-1;Pulo no questionário
7;7 anos ou menos
8;8 anos
9;9 anos
10;10 anos
11;11 anos
12;12 anos
13;13 anos
14;14 anos
15;15 anos
16;16 anos
17;17 anos
18;18 anos ou mais
99;Não informado
VB06003A;NOS ÚLTIMOS 30 DIAS, quantos dias você usou droga como maconha, cocaína, crack, cola, loló, lança-perfume, ecstasy, oxy, etc?
-1;Pulo no questionário
1;Nenhum dia nos últimos 30 dias (0 dia)
2;1 ou 2 dias nos últimos 30 dias
3;3 a 5 dias nos últimos 30 dias
4;6 a 9 dias nos últimos 30 dias
5;10 ou mais dias nos últimos 30 dias
99;Não informado
VB06004A;NOS ÚLTIMOS 30 DIAS, quantos dias você usou maconha? 
-1;Pulo no questionário
1;Nenhum dia nos últimos 30 dias (0 dia)
2;1 ou 2 dias nos últimos 30 dias
3;3 a 9 dias nos últimos 30 dias
4;10 ou mais dias nos últimos 30 dias
99;Não informado
VB06005A;NOS ÚLTIMOS 30 DIAS, quantos dias você usou crack?
-1;Pulo no questionário
1;Nenhum dia nos últimos 30 dias (0 dia)
2;1 ou 2 dias nos últimos 30 dias
3;3 a 9 dias nos últimos 30 dias
4;10 ou mais dias nos últimos 30 dias
99;Não informado
VB06006;Quantos amigos seus usam drogas?
-1;Pulo no questionário
1;Nenhum
2;Poucos
3;Alguns
4;A maioria
5;Todos
6;Não sei
99;Não informado
VB07001;NOS ÚLTIMOS 30 DIAS, em quantos dias você faltou às aulas ou à escola sem permissão dos seus pais ou responsáveis?
1;Nenhum dia nos últimos 30 dias (0 dia)
2;1 ou 2 dias nos últimos 30 dias
3;3 a 5 dias nos últimos 30 dias
4;6 a 9 dias nos últimos 30 dias
5;10 ou mais dias nos últimos 30 dias
99;Não informado
VB07002;NOS ÚLTIMOS 30 DIAS, com que frequência seus pais ou responsáveis sabiam realmente o que você estava fazendo em seu tempo livre?
1;Nunca
2;Raramente
3;Às vezes
4;Na maior parte do tempo
5;Sempre
99;Não informado
VB07003;NOS ÚLTIMOS 30 DIAS, com que frequência seus pais ou responsáveis verificaram se os seus deveres de casa (lição de casa) foram feitos?
1;Nunca
2;Raramente
3;Às vezes
4;Na maior parte do tempo
5;Sempre
99;Não informado
VB07004;NOS ÚLTIMOS 30 DIAS, com que frequência seus pais ou responsáveis entenderam seus problemas e preocupações?
1;Nunca 
2;Raramente 
3;Às vezes 
4;Na maior parte do tempo 
5;Sempre
99;Não informado
VB07005;NOS ÚLTIMOS 30 DIAS, com que frequência seus pais ou responsáveis mexeram em suas coisas sem a sua concordância?
1;Nunca
2;Raramente
3;Às vezes
4;Na maior parte do tempo
5;Sempre
99;Não informado
VB07006;NOS ÚLTIMOS 30 DIAS, com que frequência os colegas de sua escola trataram você bem e/ou foram prestativos contigo?
1;Nunca
2;Raramente
3;Às vezes
4;Na maior parte do tempo
5;Sempre
99;Não informado
VB07007;NOS ÚLTIMOS 30 DIAS, com que frequência algum dos seus colegas de escola te esculacharam, zoaram, mangaram, intimidaram ou caçoaram tanto que você ficou magoado, incomodado, aborrecido, ofendido ou humilhado?
1;Nunca
2;Raramente
3;Às vezes
4;Na maior parte do tempo
5;Sempre
99;Não informado
VB07008;NOS ÚLTIMOS 30 DIAS, qual o motivo/causa de seus colegas terem te esculachado, zombado, zoado, caçoado, mangado, intimidado ou humilhado?
-1;Pulo no questionário
1;A minha cor ou raça
2;A minha religião
3;A aparência do meu rosto
4;A aparência do meu corpo
5;A minha orientação sexual
6;A minha região de origem
7;Outros motivos/causas
99;Não informado
VB07009;NOS ÚLTIMOS 30 DIAS, você esculachou, zombou, mangou, intimidou ou caçoou algum de seus colegas da escola tanto que ele ficou magoado, aborrecido, ofendido ou humilhado?
1;Sim
2;Não
99;Não informado
VB07010;Você já sofreu bullying?
1;Sim
2;Não
3;Não sei o que é bullying
99;Não informado
VB12001;NOS ÚLTIMOS 12 MESES com que frequência tem se sentido sozinho(a)? 
1;Nunca
2;Raramente
3;Às vezes
4;Na maioria das vezes
5;Sempre
99;Não informado
VB12002;NOS ÚLTIMOS 12 MESES, com que frequência você não conseguiu dormir à noite porque algo o(a) preocupava muito? 
1;Nunca
2;Raramente
3;Às vezes
4;Na maioria das vezes
5;Sempre
99;Não informado
VB12003;Quantos amigos(as) próximos você tem?
1;Nenhum amigo (0)
2;1 amigo
3;2 amigos
4;3 ou mais amigos
99;Não informado
VB08001;Você já teve relação sexual (transou) alguma vez?
-1;Pulo no questionário
1;Sim
2;Não
99;Não informado
VB08002;Que idade você tinha quando teve relação sexual (transou) pela primeira vez?
-1;Pulo no questionário
